site,site_id,xmltv_id,name,country
tv24.co.uk,rbb-brandenburg-hd,rbbFernsehenBrandenburg.de,RBB Fernsehen Brandenburg,DE
tv24.co.uk,rbb-brandenburg-fernsehen,rbbFernsehenBrandenburg.de,RBB Fernsehen Brandenburg,DE
tvprofil.com,at/tvprogramm#rbb,rbbFernsehenBrandenburg.de,RBB Fernsehen Brandenburg,DE
tvprofil.com,de/tvprogramm#rbb,rbbFernsehenBrandenburg.de,RBB Fernsehen Brandenburg,DE
tvprofil.com,pl/program#rbb,rbbFernsehenBrandenburg.de,RBB Fernsehen Brandenburg,DE
web.magentatv.de,242,rbbFernsehenBrandenburg.de,RBB Fernsehen Brandenburg,DE
tv.post.lu,e9435fe0-8095-11e9-b5ca-f345a2ed0fbe,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
tv.magenta.at,206966823986,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
tvprofil.com,at/tvprogramm#mdr,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
tvprofil.com,ch/tv-programm#mdr,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
tvprofil.com,de/tvprogramm#mdr,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
tv.blue.ch,256,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
epgshare01.online,CH1#MDR.ch,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
epgshare01.online,DE1#MDR.de,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
tvheute.at,mdr,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
tv.magenta.at,206965800334,BRFernsehenSud.de,BR Fernsehen Süd,DE
tv.blue.ch,55,BRFernsehenSud.de,BR Fernsehen Süd,DE
tvheute.at,br,BRFernsehenSud.de,BR Fernsehen Süd,DE
tv.magenta.at,206966312140,NDRFernsehenHamburg.de,NDR Fernsehen Hamburg,DE
tv.blue.ch,286,NDRFernsehenHamburg.de,NDR Fernsehen Hamburg,DE
webtv.delta.nl,89,NDRFernsehenHamburg.de,NDR Fernsehen Hamburg,DE
ziggogo.tv,NL_000037_019186,NDRFernsehenHamburg.de,NDR Fernsehen Hamburg,DE
tvheute.at,ndr,NDRFernsehenNiedersachsen.de,NDR Fernsehen Hamburg,DE
tv.blue.ch,286,NDRFernsehenHamburg.de,NDR Fernsehen Hamburg,DE
webtv.delta.nl,89,NDRFernsehenHamburg.de,NDR Fernsehen Hamburg,DE
ziggogo.tv,NL_000037_019186,NDRFernsehenHamburg.de,NDR Fernsehen Hamburg,DE
tvgids.nl,ndr,NDRFernsehenInternational.de,NDR Fernsehen International,DE
tvheute.at,ndr,NDRFernsehenNiedersachsen.de,NDR Fernsehen Niedersachsen,DE
tv.blue.ch,654,WDRFernsehenKoln.de,WDR Fernsehen Köln,DE
tvheute.at,wdr,WDRFernsehenKoln.de,WDR Fernsehen Köln,DE
webtv.delta.nl,60,WDRFernsehenKoln.de,WDR Fernsehen Köln,DE
tv.magenta.at,206966312109,WDRFernsehenKoln.de,WDR Fernsehen Köln,DE
tvheute.at,wdr,WDRFernsehenKoln.de,WDR Fernsehen Köln,DE
webtv.delta.nl,60,WDRFernsehenKoln.de,WDR Fernsehen Köln,DE
m.tv.sms.cz,RBB+Berlin,rbbFernsehenBerlin.de,RBB Fernsehen Berlin,DE
programtv.onet.pl,rbb-466,rbbFernsehenBerlin.de,RBB Fernsehen Berlin,DE
tv.blue.ch,342,rbbFernsehenBerlin.de,RBB Fernsehen Berlin,DE
tvheute.at,rbb,rbbFernsehenBerlin.de,RBB Fernsehen Berlin,DE
tv.magenta.at,206966824018,rbbFernsehenBerlin.de,RBB Fernsehen Berlin,DE
tv.blue.ch,414,SWRFernsehenBadenWurttemberg.de,SWR Fernsehen BW,DE
tvheute.at,swr,SWRFernsehenBadenWurttemberg.de,SWR Fernsehen BW,DE
epgshare01.online,DE1#SWR/SR.de,SWRFernsehenBadenWurttemberg.de,SWR Fernsehen BW,DE
programtv.onet.pl,ki-ka-377,KiKA.de,KIKA,DE